What is the name of the dog you would like to submit a response for?,How long were you thinking about adding a new dog to the family  before you brought {{field:dog_name}} home?,What was your primary motivation for getting {{field:dog_name}}?,Where did you acquire {{field:dog_name}} from?,Please select the characteristic you found most important when choosing {{field:dog_name}}.,"Your number 1 choice is {{field:char_1_1}}.
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
5. {{field:char_1_5}}
What was the next most important characteristic?",Were your primary relationship expectations met?,Do you still live with {{field:dog_name}}?,How long did you and {{field:dog_name}} live together?,Where is {{field:dog_name}} now?,Would you like to enter information for another dog you own(ed)?,Would you ever consider bringing another dog into your life?,Please select the characteristic you find most important from the list.,"Your number 1 choice is {{field:char_2_1}}.
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
5. {{field:char_2_5}}
What is next most important characteristic?","If you were to bring another dog into your life, where are you likely to get that dog?",id,msg,list,sep,Submitted At,Token
Tegan,1 week - 6 months,Companionship and affection,Online,Breed,Appearance,Age,Individual personality/behavior,Trainability,Compatability with other pets in the home,Yes,True,,,False,True,Breed,Compatability with other pets in the home,Appearance,Age,Individual personality/behavior,Trainability,Breeder,1db158d5d4ac76dda24b9111009fd206,,, ,2/13/2020 20:17:15,5ej1ljur3xezo04qd8r62h5ej1ljuhj2
Rax,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Breed,Individual personality/behavior,Compatability with other pets in the home,Age,Appearance,Size,"Partially, I grew to love the dog over time",True,,,False,True,Breed,Compatability with other pets in the home,Individual personality/behavior,Appearance,Age,Trainability,Shelter/Rescue,ece46ceba2f24058e12fe06f8d212cb9,We have submissions for:,,", ",2/13/2020 20:16:04,t4tp9bavvosfm1codx4t4tp6b5ka7ztu
Puccini,1 week - 6 months,Companionship and affection,Breeder,Breed,Individual personality/behavior,Appearance,Trainability,Compatability with other pets in the home,Age,Yes,True,,,True,,,,,,,,,164fa9849df911239e63772145eb74b4,,, ,2/13/2020 20:17:33,00ryco5ra0889ado00rf1wu7ado0kijm
Cotton,6+ months - 6 years,Companionship and affection,Found roaming,Compatability with other pets in the home,Individual personality/behavior,Trainability,Appearance,Age,Size,Yes,False,6+ years,Passed,True,,,,,,,,,54daee4c36b9df5ad6306997edb19a39,,, ,2/13/2020 20:16:37,gbv047v2zfczgbv0hj7ho51joorblbn5
Senka,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Breed,Trainability,Appearance,Compatability with other pets in the home,Size,Yes,True,,,True,,,,,,,,,b67fecd81f5bcc24d28dc5819de0e9f7,,, ,2/13/2020 20:16:36,tw3bqh3mhcf5fqztw3bq3suelx3o5yt0
Venus,Less than 1 week,Companionship and affection,Shelter/Rescue,Breed,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Yes,True,,,True,,,,,,,,,171eb61a51fe1eace1d56f5cf45f385c,,, ,2/13/2020 20:16:55,1nf8b6kqp1v3fr04396t1nf8bjtxrfp9
George,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Breed,Compatability with other pets in the home,Trainability,Age,Appearance,"Partially, I grew to love the dog over time",True,,,False,True,Individual personality/behavior,Trainability,Compatability with other pets in the home,Size,Age,Appearance,Shelter/Rescue,2092dc22fddccee2e7e1fb02e36943a2,,, ,2/13/2020 20:18:08,jawrt2ua08s9h0jawrt2qrbx5yps3nzf
Cosmo,6+ months - 6 years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Trainability,Compatability with other pets in the home,Age,Appearance,"Partially, I grew to love the dog over time",True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Appearance,Trainability,Breed,Age,Shelter/Rescue,194c727fe343508710c38e75922c469e,,, ,2/13/2020 20:17:24,rn947guh9ci6y308bjjh3rn947gutc4l
Seguin,Less than 1 week,Dog needed rescue by experienced person,Shelter/Rescue,Breed,Individual personality/behavior,Appearance,Trainability,Compatability with other pets in the home,Size,"Partially, I accepted the dog and made it work",True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Appearance,Breed,Size,Shelter/Rescue,5a5d73df460991c9ad67af6c813046d6,,, ,2/13/2020 20:18:07,viu04rc7313dboc4oqviu0srvsx1m2sj
Tycho,6+ months - 6 years,Working or sporting,Breeder,Breed,Individual personality/behavior,Trainability,Size,Appearance,Age,Yes,True,,,True,,,,,,,,,3b33e131dc17dfb6b1f41ab23ed8a3ea,,, ,2/13/2020 20:17:34,7rid4zqmpfo0pm7uva7rid4z3b3b4m4h
Delilah,6+ years,wasn't really thinking of doin gmk more than fostering.,Shelter/Rescue,Breed,Size,Individual personality/behavior,Compatability with other pets in the home,Appearance,Trainability,"Partially, I accepted the dog and made it work",True,,,True,,,,,,,,,108de1e0c5283df5b0dd63713d644664,,, ,2/13/2020 20:17:44,g1r1f4yqgx6vhb8q9qyfg1r1fpfreq4q
Celestine,6+ months - 6 years,"Someone else in the home wanted a dog (e.g. kids, spouse)",Breeder,Breed,Trainability,Individual personality/behavior,Age,Compatability with other pets in the home,Appearance,Yes,True,,,True,,,,,,,,,378631a38fd2e37775eb20a9f123699a,,, ,2/13/2020 20:18:13,xuxwdtv1vng6lfunr7rlkxuxwoz1u5oh
Sancho,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Individual personality/behavior,Age,Appearance,Compatability with other pets in the home,Trainability,Size,Yes,False,6+ years,Passed,True,,,,,,,,,54daee4c36b9df5ad6306997edb19a39,We have submissions for:,,", ",2/13/2020 20:17:41,ir4qzlnfal1t0p8tlkir4qzlnffy32py
Hudson,6+ months - 6 years,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Appearance,Age,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Breed,Size,Appearance,Shelter/Rescue,b67fecd81f5bcc24d28dc5819de0e9f7,We have submissions for:,,", ",2/13/2020 20:18:23,donnrsiw58jae1odo0rbyficu9crew44
Oz,6+ months - 6 years,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Appearance,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Appearance,Shelter/Rescue,952957c459fa66450dfc657c7e3f6048,We have submissions for:,,", ",2/13/2020 20:18:55,nxuw920frpz9nu11znzotgnxuw9nehax
Zoe Moo,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Appearance,Size,Trainability,Age,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Age,Size,Appearance,Trainability,Shelter/Rescue,28d335c4b9b2a0624ceba9e0b881ab4b,,, ,2/13/2020 20:26:20,pmk89nki34gwppzqlpmk893pk2stf0k9
Zelda,Less than 1 week,"Zelda's owner died. Since I had fostered her when she had her puppies, I took her in.",Family member or friend,Compatability with other pets in the home,Individual personality/behavior,Age,Size,Age,Appearance,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Age,Breed,Shelter/Rescue,fcab8ce1904d6307e8cc8f1f07d917c3,,, ,2/13/2020 20:20:45,5wpt5drhzn6mjj8izwuuo2y5wpt5drlr
Apollo,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Appearance,Breed,Age,Size,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Appearance,Size,Age,Shelter/Rescue,171eb61a51fe1eace1d56f5cf45f385c,We have submissions for:,,", ",2/13/2020 20:19:32,9sfhsp8ib5fjerzf4is9uw19sfhsp0lv
Fergie,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Trainability,Appearance,Yes,True,,,False,True,Trainability,Individual personality/behavior,Compatability with other pets in the home,Size,Appearance,Breed,Shelter/Rescue,251a993f3d04030602f2f93b9f6b0b12,,, ,2/13/2020 20:19:17,5t0aez4pk62sj2q0huk5t0aeb7gcpvdy
Jake,6+ months - 6 years,"Exercise, adventure partner",Breeder,Individual personality/behavior,Trainability,Breed,Appearance,Size,Age,Yes,True,,,False,True,Individual personality/behavior,Trainability,Breed,Compatability with other pets in the home,Appearance,Size,Breeder,c9e2f939695a3e71068baa139815605c,,, ,2/13/2020 20:19:55,3jl3rztfsr82hhdmx14tk3jl3cx57tbs
Koyuk,Less than 1 week,"Exercise, adventure partner",Shelter/Rescue,Compatability with other pets in the home,Breed,Appearance,Compatability with other pets in the home,Individual personality/behavior,Trainability,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,e9af3c6cb2dbfcaef04831a942bbf7d9,,, ,2/13/2020 20:19:44,f3yyn1pzn2r23cu5xf3yynqeceq3n059
Farlo,6+ months - 6 years,Working or sporting,Breeder,Breed,Individual personality/behavior,Trainability,Appearance,Size,Age,Yes,True,,,False,True,Breed,Individual personality/behavior,Trainability,Appearance,Size,Age,Breeder,3b33e131dc17dfb6b1f41ab23ed8a3ea,We have submissions for:,,", ",2/13/2020 20:19:27,h7y0scxllhsuc8ah7y0tn0im307myjan
Fred,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Appearance,Size,Trainability,Age,Breed,Yes,False,6+ years,Passed,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Appearance,Size,Age,Shelter/Rescue,54daee4c36b9df5ad6306997edb19a39,We have submissions for:,,", ",2/13/2020 20:19:01,9jivjg18ittbopv6ogdl0h9jivjge09h
Dash,6+ years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Appearance,Size,Age,Trainability,Yes,True,,,True,,,,,,,,,108de1e0c5283df5b0dd63713d644664,We have submissions for:,,", ",2/13/2020 20:18:56,qtrg33zkcr3b0qd3d7zqtrgw3g9udwj2
Percy,6+ months - 6 years,Companion for another dog or pet,Breeder,Breed,Trainability,Individual personality/behavior,Compatability with other pets in the home,Age,Appearance,Yes,True,,,False,True,Individual personality/behavior,Trainability,Age,Compatability with other pets in the home,Appearance,Breed,Shelter/Rescue,378631a38fd2e37775eb20a9f123699a,We have submissions for:,,", ",2/13/2020 20:20:19,ytze0ko7j7g96adrerytzee4r2cbepde
Shark,1 week - 6 months,Companionship and affection,Family member or friend,Breed,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Size,Yes,True,,,True,,,,,,,,,9676adc59032d3fc4059f6810b239b57,,, ,2/13/2020 20:36:32,pr91kl32alhq57espr9bwlu77rvguj0m
Maxine,6+ months - 6 years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Appearance,Trainability,Compatability with other pets in the home,Size,Yes,True,,,True,,,,,,,,,164fa9849df911239e63772145eb74b4,,, ,2/13/2020 20:20:03,qjfaelz6al6pd9e1kydl6qjfaeltzzca
Emma,6+ months - 6 years,Companionship and affection,Breeder,Breed,Size,Appearance,Individual personality/behavior,Trainability,Age,Yes,True,,,True,,,,,,,,,e7ce3bd4048a307c063abdfd35c87099,,, ,2/13/2020 20:20:30,9asipncnyivr6my9m8kx9as5agnvs878
Cooper,6+ months - 6 years,Companion for another dog or pet,Breeder,Breed,Individual personality/behavior,Trainability,Compatability with other pets in the home,Appearance,Size,Yes,True,,,True,,,,,,,,,2563b73150a789b1bec47593866c8bc9,,, ,2/13/2020 20:21:02,6r6sxp5mmq7f06r6st9szia5u38k34lo
Venus,6+ months - 6 years,Companionship and affection,Breeder,Breed,Size,Compatability with other pets in the home,Age,Individual personality/behavior,Trainability,Yes,True,,,False,True,Breed,Individual personality/behavior,Size,Trainability,Compatability with other pets in the home,Age,Breeder,108de1e0c5283df5b0dd63713d644664,We have submissions for:,,", ",2/13/2020 20:21:02,wt3v0z2k5nz62a9zqwt3v0p8opdftlda
Judy,6+ months - 6 years,"Exercise, adventure partner",Shelter/Rescue,Appearance,Individual personality/behavior,Trainability,Individual personality/behavior,Age,Size,Yes,True,,,False,False,,,,,,,,7e7a2cf8ff98543564828dc8b246aa43,,, ,2/13/2020 20:21:06,wuz91qtd2kf0dk31iwuz91cry0r1kaev
Thor,Less than 1 week,He needed a home,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Appearance,Trainability,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Breed,Appearance,Size,Age,Shelter/Rescue,a45f0e6f8d5d28756ef85e27ef16e838,We have submissions for:,,", ",2/13/2020 20:22:55,nk08srixum5wugqqnk08sr81fydvmcm6
Möbius,1 week - 6 months,"Exercise, adventure partner",Shelter/Rescue,Individual personality/behavior,Breed,Size,Trainability,Compatability with other pets in the home,Appearance,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,6d0f7671ad63dd717535a0812023e3a9,,, ,2/13/2020 20:21:07,tyqv8e0bt1fkhkytyqv47p4zs5txfbt2
Willow,1 week - 6 months,Companionship and affection,Breeder,Breed,Individual personality/behavior,Age,Compatability with other pets in the home,Appearance,Individual personality/behavior,Yes,False,6+ years,Passed,True,,,,,,,,,e9af3c6cb2dbfcaef04831a942bbf7d9,We have submissions for:,,", ",2/13/2020 20:21:21,inu8n42x6psu0rozgfwinu8t531xfadr
Nikki,6+ months - 6 years,Companionship and affection,Breeder,Breed,Size,Appearance,Individual personality/behavior,Trainability,Size,Yes,False,6+ years,Passed,False,True,Breed,Individual personality/behavior,Trainability,Appearance,Age,Compatability with other pets in the home,Breeder,e7ce3bd4048a307c063abdfd35c87099,We have submissions for:,,", ",2/13/2020 20:24:11,yu1c22oilgdn2vyoyu8i8a6f017h7bzp
Dayve,1 week - 6 months,"Exercise, adventure partner",Shelter/Rescue,Individual personality/behavior,Trainability,Compatability with other pets in the home,Breed,Appearance,Size,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,2be2c64040ddd0f45c04d32e942f4886,,, ,2/13/2020 20:24:05,03w8u5d2v4nr845sxfppr03w8u5df4pd
Brodie,6+ months - 6 years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Trainability,Appearance,Size,Age,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Breed,Size,Age,Breeder,2563b73150a789b1bec47593866c8bc9,We have submissions for:,,", ",2/13/2020 20:23:33,84udkp5t67gmauwb8w384uddiththb2e
Sharma,Less than 1 week,Working or sporting,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Trainability,Breed,Age,Appearance,Yes,True,,,False,True,Individual personality/behavior,Trainability,Breed,Compatability with other pets in the home,Appearance,Age,Breeder,6d0f7671ad63dd717535a0812023e3a9,We have submissions for:,,", ",2/13/2020 20:22:41,r0ff018az7pr4la2f3mr0fetkis5l22f
Aj,1 week - 6 months,Companion for another dog or pet,Online,Appearance,Compatability with other pets in the home,Size,Age,Individual personality/behavior,Trainability,Yes,True,,,True,,,,,,,,,36b42d7d4d7ac30620ffd01fc4a0ab2f,,, ,2/13/2020 20:23:19,r0snwv2tl2470yegecr0snw971ox7wiy
Daisy,6+ months - 6 years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Compatability with other pets in the home,Breed,Appearance,Size,Yes,False,6+ years,Passed,True,,,,,,,,,e9af3c6cb2dbfcaef04831a942bbf7d9,We have submissions for:,,", ",2/13/2020 20:22:43,ba0npqim4lcnp3q7vqcba0npnuyx4fv3
Bosco,1 week - 6 months,Companionship and affection,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Appearance,Size,Trainability,Age,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Appearance,Trainability,Size,Age,Shelter/Rescue,9b896fb39d8c4730f8c9901297631b2c,,, ,2/13/2020 20:25:15,7a4ycamus34wteicxl2i7a4ychp9koda
Elvin,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Breed,Age,Trainability,Compatability with other pets in the home,Appearance,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,661059446f895f968d30ae08501a6d98,,, ,2/13/2020 20:25:52,a2270fdibduojvvxs4d1a2270fdf25e6
Skye,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Breed,Compatability with other pets in the home,Trainability,Appearance,Individual personality/behavior,Age,"Partially, I accepted the dog and made it work",False,6+ years,Passed,False,True,Individual personality/behavior,Individual personality/behavior,Trainability,Size,Age,Appearance,Shelter/Rescue,e9af3c6cb2dbfcaef04831a942bbf7d9,We have submissions for:,,", ",2/13/2020 20:25:10,gdl2wt5w5e1pihc33igdl2wtb2olxipv
Kuma,Less than 1 week,She had nowhere else to go,Shelter/Rescue,Individual personality/behavior,Appearance,Breed,Trainability,Size,Age,Yes,True,,,True,,,,,,,,,e679b32cde4211e57cc216f07a704e45,,, ,2/13/2020 20:27:32,rgt5wrb0st6fmwmn03eq3vivrgt5wrb8
Missy,6+ years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Appearance,Size,Trainability,Age,Yes,True,,,True,,,,,,,,,44e6c468e1471bb5686ca31c4873ecb2,,, ,2/13/2020 20:25:21,ebip7ttgiw101b8rknchxjebipue38c2
River,1 week - 6 months,Companionship and affection,Breeder,Breed,Appearance,Individual personality/behavior,Age,Trainability,Compatability with other pets in the home,Yes,True,,,True,,,,,,,,,f304b90daf01328a3edc34fcd54a54f3,,, ,2/13/2020 20:24:44,k8ht7bhxstm5mpqgutk8ht7hvn4osyip
Sonny,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Appearance,Compatability with other pets in the home,Individual personality/behavior,Size,Trainability,Age,"No, the dog was not a good match",True,,,False,True,Compatability with other pets in the home,Appearance,Individual personality/behavior,Size,Trainability,Age,Shelter/Rescue,36b42d7d4d7ac30620ffd01fc4a0ab2f,We have submissions for:,,", ",2/13/2020 20:26:28,vygs2n3n21xzfsedvygs5t09mx5f17qv
Maestro,1 week - 6 months,"Exercise, adventure partner",Shelter/Rescue,Age,Appearance,Individual personality/behavior,Trainability,Size,Breed,Yes,False,6+ years,Passed,True,,,,,,,,,2be2c64040ddd0f45c04d32e942f4886,We have submissions for:,,", ",2/13/2020 20:27:02,apy9w8lms2ei141ydvapy9wflk6cjwuu
Wasabi,6+ months - 6 years,Working or sporting,Breeder,Individual personality/behavior,Trainability,Breed,Size,Age,Appearance,Yes,True,,,True,,,,,,,,,e433eb53c23affcc3e4e2256fd59ba87,,, ,2/13/2020 20:25:51,othypxk3qdqp1p3xhyotheziqvc62sa7
Mac,1 week - 6 months,We fostered him and he fit in well so we kept him,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Breed,Yes,True,,,True,,,,,,,,,f304b90daf01328a3edc34fcd54a54f3,We have submissions for:,,", ",2/13/2020 20:26:37,m2am1ztoyk1eym2am1o91x2nkf57k3sc
Kima,6+ months - 6 years,Working or sporting,Breeder,Breed,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Appearance,Yes,True,,,True,,,,,,,,,4156dcb73fd91f63adc7f169a63f62b2,,, ,2/13/2020 20:27:18,io0yf3q6wweh8zlx32akio0yf3qq8vm7
Tucker,6+ months - 6 years,Companion for another dog or pet,Breeder,Breed,Compatability with other pets in the home,Trainability,Individual personality/behavior,Appearance,Age,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Breed,Age,Appearance,Breeder,44e6c468e1471bb5686ca31c4873ecb2,We have submissions for:,,", ",2/13/2020 20:27:58,66nb92auh5fxjao66nb9ya2gsu07ilsa
Tori,1 week - 6 months,Companionship and affection,Breeder,Breed,Individual personality/behavior,Age,Appearance,Trainability,Compatability with other pets in the home,Yes,False,6+ years,Passed,True,,,,,,,,,3766e5d3abce6995594de540876c1d30,,, ,2/13/2020 20:28:02,x1v8qkzyb2d99zw1x1v8qzhhlonb8s34
